air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,1,0,0,83554390,apartment,107,0,4,0,1,0,valencia,1,0,0,0
1,0,2,0,0,0,84219996,apartment,82,0,3,0,0,1,madrid,1,0,0,0
0,0,1,0,0,0,82538473,apartment,80,0,1,0,0,0,alicante,1,0,0,0
1,1,2,1,0,0,81428874,apartment,105,0,1,0,0,0,madrid,1,0,0,0
1,0,4,0,0,1,81987456,house,620,0,6,1,1,1,girona,0,1,0,0
0,0,1,0,0,0,38550125,apartment,200,0,4,0,0,0,valencia,1,0,0,0
0,0,2,0,0,1,40338535,house,75,0,2,0,1,1,girona,0,1,0,0
0,1,2,0,0,0,83465951,apartment,99,0,3,0,0,0,valencia,1,0,0,0
0,0,2,0,0,0,36779432,apartment,80,0,3,0,0,0,girona,1,0,0,0
1,0,3,0,0,1,36500195,house,360,0,4,1,1,1,alicante,0,1,0,0
1,0,2,1,0,0,33308263,apartment,100,0,3,1,0,0,valencia,1,0,0,0
0,0,3,1,0,1,82402999,house,1150,0,4,1,0,1,alicante,0,1,0,0
1,0,1,1,0,0,1800884,apartment,130,0,5,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,38027745,house,3000,0,4,1,0,0,alicante,0,1,0,0
0,1,3,1,0,1,81989504,house,300,0,3,0,1,1,alicante,0,1,0,0
0,0,2,0,0,1,81981431,house,575,0,5,1,0,0,girona,0,1,0,0
1,0,2,0,0,1,34416705,house,400,0,4,0,1,1,alicante,0,1,0,0
1,0,2,1,0,0,83579517,apartment,75,0,3,0,0,1,madrid,1,0,0,0
1,0,2,1,0,1,30929855,house,1,0,4,0,1,1,sevilla,0,1,0,0
1,0,2,1,0,0,38167377,apartment,136,0,3,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,84266339,apartment,60,0,3,0,0,0,sevilla,1,0,0,0
0,1,1,1,0,0,40348988,apartment,53,0,2,0,0,0,girona,1,0,0,0
1,0,2,1,0,1,84477617,apartment,95,0,2,1,1,1,madrid,1,0,0,0
1,0,1,0,0,0,83918149,apartment,30,0,2,0,0,0,madrid,1,0,0,0
1,0,2,1,0,0,84903938,apartment,90,0,3,0,0,0,alicante,1,0,0,0
